Year,Make,Model,Trim,Base Curb Weight (lbs)

2019,Acura,RDX,FWD w/TechnologyPkg,3790
2019,Acura,RDX,FWD w/AdvancePkg,3829
2019,Acura,RDX,FWD w/A-SpecPkg,3821
2019,Acura,RDX,FWD,3783
2019,Acura,RDX,AWD w/TechnologyPkg,4026
2019,Acura,RDX,AWD w/AdvancePkg,4068
2019,Acura,RDX,AWD w/A-SpecPkg,4015
2018,Acura,RDX,AWD,3902
2018,Acura,RDX,FWD w/Technology/AcuraWatchPlusPkg,3772
2018,Acura,RDX,FWD w/TechnologyPkg,3768
2018,Acura,RDX,FWD w/AdvancePkg,3781
2018,Acura,RDX,FWD w/AcuraWatchPlus,3743
2018,Acura,RDX,FWD,3737
2018,Acura,RDX,AWD w/Technology/AcuraWatchPlusPkg,3935
2018,Acura,RDX,AWD w/TechnologyPkg,3931
2018,Acura,RDX,AWD w/AdvancePkg,3946
2018,Acura,RDX,AWD w/AcuraWatchPlus,3907
2016,Acura,RDX,AWD 4-Door,3902
2016,Acura,RDX,FWD 4-DoorTech/AcuraWatchPlusPkg,3774
2016,Acura,RDX,FWD 4-DoorTechPkg,3768
2016,Acura,RDX,FWD 4-DoorAdvancePkg,3781
2016,Acura,RDX,FWD 4-DoorAcuraWatchPlusPkg,3743
2016,Acura,RDX,FWD 4-Door,3737
2016,Acura,RDX,AWD 4-DoorTech/AcuraWatchPlusPkg,3936
2016,Acura,RDX,AWD 4-DoorTechPkg,3931
2016,Acura,RDX,AWD 4-DoorAdvancePkg,3946
2016,Acura,RDX,AWD 4-DoorAcuraWatchPlusPkg,3907
2015,Acura,RDX,AWD 4-Door,3838
2015,Acura,RDX,FWD 4-DoorTechPkg,3732
2015,Acura,RDX,FWD 4-Door,3717
2015,Acura,RDX,AWD 4-DoorTechPkg,3852
2014,Acura,RDX,AWD 4-Door,3838
2014,Acura,RDX,FWD 4-DoorTechPkg,3732
2014,Acura,RDX,FWD 4-Door,3717
2014,Acura,RDX,AWD 4-DoorTechPkg,3852
2016,Acura,MDX,FWD 4-Door,3960
2016,Acura,MDX,SH-AWD 4-Doorw/Tech/Entertainment/AcuraWatchPlus,4262
2016,Acura,MDX,SH-AWD 4-Doorw/Tech/Entertainment,4260
2016,Acura,MDX,SH-AWD 4-Doorw/Tech/AcuraWatchPlus,4213
2016,Acura,MDX,SH-AWD 4-Doorw/Tech,4211
2016,Acura,MDX,SH-AWD 4-Doorw/Advance/Entertainment,4319
2016,Acura,MDX,SH-AWD 4-Doorw/Advance,4246
2016,Acura,MDX,SH-AWD 4-Doorw/AcuraWatchPlus,4200
2016,Acura,MDX,SH-AWD 4-Door,4195
2016,Acura,MDX,FWD 4-Doorw/Tech/Entertainment/AcuraWatchPlus,4070
2016,Acura,MDX,FWD 4-Doorw/Tech/Entertainment,4067
2016,Acura,MDX,FWD 4-Doorw/Tech/AcuraWatchPlus,4004
2016,Acura,MDX,FWD 4-Doorw/Tech,4001
2016,Acura,MDX,FWD 4-Doorw/Advance/Entertainment,4246
2016,Acura,MDX,FWD 4-Doorw/Advance,4037
2016,Acura,MDX,FWD 4-Doorw/AcuraWatchPlus,3964
2015,Acura,MDX,FWD 4-Door,4025
2015,Acura,MDX,SH-AWD 4-DoorTech/EntertainmentPkg,4294
2015,Acura,MDX,SH-AWD 4-DoorTechPkg,4270
2015,Acura,MDX,SH-AWD 4-DoorAdvance/EntertainmentPkg,4332
2015,Acura,MDX,SH-AWD 4-Door,4255
2015,Acura,MDX,FWD 4-DoorTech/EntertainmentPkg,4063
2015,Acura,MDX,FWD 4-DoorTechPkg,4041
2015,Acura,MDX,FWD 4-DoorAdvance/EntertainmentPkg,4103
2014,Acura,MDX,FWD 4-Door,4025
2014,Acura,MDX,SH-AWD 4-DoorTech/EntertainmentPkg,4294
2014,Acura,MDX,SH-AWD 4-DoorTechPkg,4270
2014,Acura,MDX,SH-AWD 4-DoorAdvance/EntertainmentPkg,4332
2014,Acura,MDX,SH-AWD 4-Door,4255
2014,Acura,MDX,FWD 4-DoorTech/EntertainmentPkg,4063
2014,Acura,MDX,FWD 4-DoorTechPkg,4041
2014,Acura,MDX,FWD 4-DoorAdvance/EntertainmentPkg,4103
2009,Acura,MDX,AWD 4-Door,4548
2009,Acura,MDX,AWD 4-DoorTech/EntertainmentPkg,4588
2009,Acura,MDX,AWD 4-DoorTechPkg,4559
2009,Acura,MDX,AWD 4-DoorSport/EntertainmentPkg,4597
2009,Acura,MDX,AWD 4-DoorSportPkg,4564
2008,Acura,MDX,4WD4-Door,4548
2008,Acura,MDX,4WD4-DoorTech/PwrTailGate,4559
2008,Acura,MDX,4WD4-DoorTech/EntertainmentPkg,4588
2008,Acura,MDX,4WD4-DoorTechPkg,4559
2008,Acura,MDX,4WD4-DoorSport/PwrTailGate,4564
2008,Acura,MDX,4WD4-DoorSport/EntertainmentPkg,4597
2008,Acura,MDX,4WD4-DoorSportPkg,4564
2007,Acura,MDX,4WD4-Door,4539
2007,Acura,MDX,4WD4-DoorTech/EntertainmentPkg,4578
2007,Acura,MDX,4WD4-DoorTechPkg,4550
2007,Acura,MDX,4WD4-DoorSport/EntertainmentPkg,4587
2007,Acura,MDX,4WD4-DoorSportPkg,4554
2006,Acura,MDX,4-DoorSUVAT,4471
2006,Acura,MDX,4-DoorSUVATTouringw/Navi,4504
2006,Acura,MDX,4-DoorSUVATTouringRESw/Navi,4504
2006,Acura,MDX,4-DoorSUVATTouringRES,4504
2006,Acura,MDX,4-DoorSUVATTouring,4504
2005,Acura,MDX,4-DoorSUVAT,4451
2005,Acura,MDX,4-DoorSUVATTouringw/Navi,4510
2005,Acura,MDX,4-DoorSUVATTouring,4510
2005,Acura,MDX,4-DoorSUVATTouringRESw/Navi,4510
2005,Acura,MDX,4-DoorSUVATTouringRES,4510
2004,Acura,MDX,4-DoorSUV,4451
2004,Acura,MDX,4-DoorSUVTouringPkgw/Navigation,4510
2004,Acura,MDX,4-DoorSUVTouringPkgRESw/Nav,4510
2004,Acura,MDX,4-DoorSUVTouringPkgRES,4510
2004,Acura,MDX,4-DoorSUVTouringPkg,4510
2003,Acura,MDX,4-DoorSUV,4420
2003,Acura,MDX,4-DoorSUVTouringPkgw/Navigation,4500
2003,Acura,MDX,4-DoorSUVTouringPkgRESw/Nav,4504
2003,Acura,MDX,4-DoorSUVTouringPkgRES,4477
2003,Acura,MDX,4-DoorSUVTouringPkg,4473
2002,Acura,MDX,4-DoorSUV,4328
2002,Acura,MDX,4-DoorSUVTouringPkgw/Navigation,4387
2002,Acura,MDX,4-DoorSUVw/Navigation,4328
2002,Acura,MDX,4-DoorSUVTouringPkg,4387
2001,Acura,MDX,4-DoorSUV,4328
2001,Acura,MDX,4-DoorSUVTouringPkgw/Navigation,4387
2001,Acura,MDX,4-DoorSUVw/Navigation,4328
2001,Acura,MDX,4-DoorSUVTouringPkg,4387
2019,Acura,TLX,2.4LFWD,3505
2019,Acura,TLX,3.5LSH-AWD w/TechnologyPkg,3765
2019,Acura,TLX,3.5LSH-AWD w/AdvancePkg,3765
2019,Acura,TLX,3.5LSH-AWD w/A-SPECPkgRedLeather,3765
2019,Acura,TLX,3.5LSH-AWD w/A-SPECPkg,3765
2019,Acura,TLX,3.5LSH-AWD,3765
2019,Acura,TLX,3.5LFWD w/TechnologyPkg,3680
2019,Acura,TLX,3.5LFWD w/AdvancePkg,3680
2019,Acura,TLX,3.5LFWD w/A-SPECPkgRedLeather,3680
2019,Acura,TLX,3.5LFWD w/A-SPECPkg,3680
2019,Acura,TLX,3.5LFWD,3680
2019,Acura,TLX,2.4LFWD w/TechnologyPkg,3508
2019,Acura,TLX,2.4LFWD w/A-SPECPkgRedLeather,3580
2019,Acura,TLX,2.4LFWD w/A-SPECPkg,3580
2018,Acura,TLX,2.4LFWD,3505
2018,Acura,TLX,3.5LSH-AWD w/TechnologyPkg,3765
2018,Acura,TLX,3.5LSH-AWD w/AdvancePkg,3765
2018,Acura,TLX,3.5LSH-AWD w/A-SPECPkgRedLeather,3765
2018,Acura,TLX,3.5LSH-AWD w/A-SPECPkg,3765
2018,Acura,TLX,3.5LSH-AWD,3765
2018,Acura,TLX,3.5LFWD w/TechnologyPkg,3680
2018,Acura,TLX,3.5LFWD w/AdvancePkg,3680
2018,Acura,TLX,3.5LFWD w/A-SPECPkgRedLeather,3680
2018,Acura,TLX,3.5LFWD w/A-SPECPkg,3680
2018,Acura,TLX,3.5LFWD,3680
2018,Acura,TLX,2.4LFWD w/TechnologyPkg,3505
2016,Acura,TLX,4-DoorSedanFWD,3483
2016,Acura,TLX,4-DoorSedanSH-AWD V6Tech,3748
2016,Acura,TLX,4-DoorSedanSH-AWD V6Advance,3774
2016,Acura,TLX,4-DoorSedanFWD V6Tech,3596
2016,Acura,TLX,4-DoorSedanFWD V6Advance,3620
2016,Acura,TLX,4-DoorSedanFWD V6,3585
2016,Acura,TLX,4-DoorSedanFWD Tech,3492
2015,Acura,TLX,4-DoorSedanFWD,3483
2015,Acura,TLX,4-DoorSedanSH-AWD V6Tech,3748
2015,Acura,TLX,4-DoorSedanSH-AWD V6Advance,3774
2015,Acura,TLX,4-DoorSedanFWD V6Tech,3596
2015,Acura,TLX,4-DoorSedanFWD V6Advance,3620
2015,Acura,TLX,4-DoorSedanFWD V6,3585
2015,Acura,TLX,4-DoorSedanFWD Tech,3492
2019,Acura,ILX,Sedan,3095
2019,Acura,ILX,Sedanw/Technology/A-SPECPkg,3148
2019,Acura,ILX,Sedanw/TechnologyPkg,3124
2019,Acura,ILX,Sedanw/Premium/A-SPECPkg,3144
2019,Acura,ILX,Sedanw/PremiumPkg,3122
2018,Acura,ILX,Sedan,3093
2018,Acura,ILX,Sedanw/TechnologyPlus/A-SPECPkg,3137
2018,Acura,ILX,Sedanw/TechnologyPlusPkg,3115
2018,Acura,ILX,Sedanw/Premium/A-SPECPkg,3133
2018,Acura,ILX,Sedanw/PremiumPkg,3113
2018,Acura,ILX,Sedanw/AcuraWatchPlus,3095
2018,Acura,ILX,SpecialEditionSedan,3104
2016,Acura,ILX,4-DoorSedan,3093
2016,Acura,ILX,4-DoorSedanw/TechnologyPlus/A-SPECPkg,3137
2016,Acura,ILX,4-DoorSedanw/TechnologyPlusPkg,3115
2016,Acura,ILX,4-DoorSedanw/Premium/A-SPECPkg,3133
2016,Acura,ILX,4-DoorSedanw/PremiumPkg,3113
2016,Acura,ILX,4-DoorSedanw/AcuraWatchPlusPkg,3095
2015,Acura,ILX,4-DoorSedan2.0L,2955
2015,Acura,ILX,4-DoorSedan2.4LPremiumPkg,2978
2015,Acura,ILX,4-DoorSedan2.0LTechPkg,2970
2015,Acura,ILX,4-DoorSedan2.0LPremiumPkg,2959
2014,Acura,ILX,4-DoorSedan1.5LHybrid,2959
2014,Acura,ILX,4-DoorSedan2.4LPremiumPkg,2978
2014,Acura,ILX,4-DoorSedan2.0LTechPkg,2970
2014,Acura,ILX,4-DoorSedan2.0LPremiumPkg,2959
2014,Acura,ILX,4-DoorSedan2.0L,2955
2014,Acura,ILX,4-DoorSedan1.5LHybridTechPkg,2987
2013,Acura,ILX,4-DoorSedan1.5LHybrid,2959
2013,Acura,ILX,4-DoorSedan2.4LPremiumPkg,2978
2013,Acura,ILX,4-DoorSedan1.5LHybridTechPkg,2987
2019,Acura,NSX,Coupe,3878
2018,Acura,NSX,Coupe,3803
2005,Acura,NSX,2-DoorCoupeMT,3153
2004,Acura,NSX,2-DoorNSX-TOpenTop3.2LManual,3153
2003,Acura,NSX,2-DoorNSX-TOpenTop3.2LManual,3153
2002,Acura,NSX,2-DoorNSX-TOpenTop3.2LManual,3153
2001,Acura,NSX,2-DoorNSX-TOpenTop3.2LManual,3160
2001,Acura,NSX,2-DoorNSXCoupe3.2LManual,3069
2000,Acura,NSX,2-DoorNSX-TOpenTop3.2LManual,3160
2000,Acura,NSX,2-DoorNSXCoupe3.2LManual,3069
1999,Acura,NSX,2-DoorNSX-TOpenTop3.2LManual,3160
1999,Acura,NSX,2-DoorNSXCoupe3.2LManual,3066
1998,Acura,NSX,2-DoorNSX-TOpenTop3.2LManual,3160
1998,Acura,NSX,2-DoorNSXCoupe3.2LManual,3066
1997,Acura,NSX,2-DoorNSX-TOpenTop3.2LManual,3164
1997,Acura,NSX,2-DoorNSXCoupe3.2LManual,3069
2019,Acura,RLX,SedanSportHybridw/AdvancePkg,4380
2019,Acura,RLX,Sedanw/TechnologyPkg,3977
2018,Acura,RLX,SedanSportHybridw/AdvancePkg,4380
2018,Acura,RLX,Sedanw/TechnologyPkg,3977
2016,Acura,RLX,4-DoorSedanAdvancePkg,4003
2016,Acura,RLX,4-DoorSedanTechPkg,3969
2016,Acura,RLX,4-DoorSedanHybridTechPkg,4312
2016,Acura,RLX,4-DoorSedanHybridAdvancePkg,4346
2015,Acura,RLX,4-DoorSedan,3933
2015,Acura,RLX,4-DoorSedanTechPkg,3955
2015,Acura,RLX,4-DoorSedanNavigation,3933
2015,Acura,RLX,4-DoorSedanKrellAudioPkg,3981
2015,Acura,RLX,4-DoorSedanAdvancePkg,3997
2014,Acura,RLX,4-DoorSedan,3933
2014,Acura,RLX,4-DoorSedanTechPkg,3955
2014,Acura,RLX,4-DoorSedanNavigation,3933
2014,Acura,RLX,4-DoorSedanKrellAudioPkg,3981
2014,Acura,RLX,4-DoorSedanHybridTechPkg,4312
2014,Acura,RLX,4-DoorSedanHybridAdvancePkg,4354
2014,Acura,RLX,4-DoorSedanAdvancePkg,3997
2018,Alfa,Romeo,4CCoupe,2465
2016,Alfa,Romeo,4C2-DoorConvertibleSpider,2487
2016,Alfa,Romeo,4C2-DoorCoupe,2465
2015,Alfa,Romeo,4C2-DoorConvertibleSpider,2487
2015,Alfa,Romeo,4C2-DoorCoupeLaunchEdition,2465
2015,Alfa,Romeo,4C2-DoorCoupe,2465
2019,Alfa,Romeo,GiuliaAWD,3632
2019,Alfa,Romeo,GiuliaTiSportCarbonRWD,3521
2019,Alfa,Romeo,GiuliaTiSportRWD,3521
2019,Alfa,Romeo,GiuliaTiLussoRWD,3521
2019,Alfa,Romeo,GiuliaTiRWD,3521
2019,Alfa,Romeo,GiuliaSportRWD,3521
2019,Alfa,Romeo,GiuliaQuadrifoglioRWD,3806
2019,Alfa,Romeo,GiuliaRWD,3521
2019,Alfa,Romeo,GiuliaTiSportCarbonAWD,3632
2019,Alfa,Romeo,GiuliaTiSportAWD,3632
2019,Alfa,Romeo,GiuliaTiLussoAWD,3632
2019,Alfa,Romeo,GiuliaTiAWD,3632
2019,Alfa,Romeo,GiuliaSportAWD,3632
2018,Alfa,Romeo,GiuliaAWD,3632
2018,Alfa,Romeo,GiuliaTiSportRWD,3521
2018,Alfa,Romeo,GiuliaTiLussoRWD,3521
2018,Alfa,Romeo,GiuliaTiRWD,3521
2018,Alfa,Romeo,GiuliaSportRWD,3521
2018,Alfa,Romeo,GiuliaRWD,3521
2018,Alfa,Romeo,GiuliaTiSportAWD,3632
2018,Alfa,Romeo,GiuliaTiLussoAWD,3632
2018,Alfa,Romeo,GiuliaTiAWD,3632
2018,Alfa,Romeo,GiuliaSportAWD,3632
2018,Alfa,Romeo,StelvioQuadrifoglioAWD,4360
2019,Alfa,Romeo,StelvioAWD,4044
2019,Alfa,Romeo,StelvioSportRWD,4044
2019,Alfa,Romeo,StelvioRWD,4044
2019,Alfa,Romeo,StelvioTiSportAWD,4044
2019,Alfa,Romeo,StelvioTiLussoAWD,4044
2019,Alfa,Romeo,StelvioTiAWD,4044
2019,Alfa,Romeo,StelvioSportAWD,4044
2019,Alfa,Romeo,StelvioQuadrifoglioAWD,4360
2018,Alfa,Romeo,StelvioAWD,4044
2018,Alfa,Romeo,StelvioTiSportAWD,4044
2018,Alfa,Romeo,StelvioTiLussoAWD,4044
2018,Alfa,Romeo,StelvioTiAWD,4044
2018,Alfa,Romeo,StelvioSportAWD,4044
2019,Alfa,Romeo,4CSpiderSpider,2487
2018,Alfa,Romeo,4CSpiderSpider,2487
2019,Aston,Martin,DB11AMRCoupe,4134
2019,Aston,Martin,DB11Volante,4134
2019,Aston,Martin,DB11V8Coupe,3880
2018,Aston,Martin,DB11V12Coupe,4080
2018,Aston,Martin,DB11V8Coupe,3880
2010,Aston,Martin,Vantage2-DoorConvertibleManual,3770
2010,Aston,Martin,Vantage2-DoorCoupeManual,3595
2009,Aston,Martin,Vantage2-DoorConvertibleManual,3770
2009,Aston,Martin,Vantage2-DoorCoupeManual,3595
2008,Aston,Martin,Vantage2-DoorConvertibleManual,3770
2008,Aston,Martin,Vantage2-DoorCoupeManual,3594
2007,Aston,Martin,Vantage2-DoorConvertibleManual,3770
2007,Aston,Martin,Vantage2-DoorCoupeManual,3594
2006,Aston,Martin,Vantage2-DoorCoupeV8Manual,3461
2019,Aston,Martin,VanquishSCoupe,3834
2019,Aston,Martin,VanquishSVolante,4065
2018,Aston,Martin,VanquishSCoupe,3834
2018,Aston,Martin,VanquishSVolante,4065
2016,Aston,Martin,Vanquish2-DoorCoupe,3999
2016,Aston,Martin,Vanquish2-DoorVolanteCarbon,4065
2016,Aston,Martin,Vanquish2-DoorVolante,4065
2016,Aston,Martin,Vanquish2-DoorCoupeCarbon,3999
2015,Aston,Martin,Vanquish2-DoorCoupe,3999
2015,Aston,Martin,Vanquish2-DoorVolante,4065
2014,Aston,Martin,Vanquish2-DoorCoupe,3833
2014,Aston,Martin,Vanquish2-DoorVolante,4065
2005,Aston,Martin,Vanquish2-DoorCoupe,4134
2004,Aston,Martin,Vanquish2-DoorCoupe,4045
2003,Aston,Martin,Vanquish2-DoorCoupe,3969
2002,Aston,Martin,Vanquish2-DoorCoupe,3969
2012,Aston,Martin,DBS2-DoorCoupe,3737
2012,Aston,Martin,DBS2-DoorVolanteCarbon,3990
2012,Aston,Martin,DBS2-DoorVolante,3990
2012,Aston,Martin,DBS2-DoorCoupeCarbon,3737
2011,Aston,Martin,DBS2-DoorCoupe,3737
2011,Aston,Martin,DBS2-DoorVolante,3737
2010,Aston,Martin,DBS2-DoorCoupe,3737
2010,Aston,Martin,DBS2-DoorVolante,3737
2009,Aston,Martin,DBS2-DoorCoupe,3737
2008,Aston,Martin,DBS2-DoorCoupe,3737
2019,Audi,A6,Premium55TFSIquattro,4266
2019,Audi,A6,Prestige55TFSIquattro,4266
2019,Audi,A6,PremiumPlus55TFSIquattro,4266
2018,Audi,A6,2.0TFSIPremiumFWD,3858
2018,Audi,A6,3.0TFSISportquattroAWD,4023
2018,Audi,A6,3.0TFSIPrestigequattroAWD,4023
2018,Audi,A6,3.0TFSIPremiumPlusquattroAWD,4023
2018,Audi,A6,3.0TFSIPremiumquattroAWD,4023
2018,Audi,A6,2.0TFSISportquattroAWD,4023
2018,Audi,A6,2.0TFSIPremiumPlusquattroAWD,4023
2018,Audi,A6,2.0TFSIPremiumquattroAWD,4023
2018,Audi,A6,2.0TFSISportFWD,3858
2018,Audi,A6,2.0TFSIPremiumPlusFWD,3858
2016,Audi,A6,4-DoorSedanFrontTrak2.0TPremium,3803
2016,Audi,A6,4-DoorSedanquattro3.0TPrestige,4178
2016,Audi,A6,4-DoorSedanquattro3.0TPremiumPlus,4178
2016,Audi,A6,4-DoorSedanquattro3.0LTDIPrestige,4277
2016,Audi,A6,4-DoorSedanquattro3.0LTDIPremiumPlus,4277
2016,Audi,A6,4-DoorSedanquattro2.0TPremiumPlus,3957
2016,Audi,A6,4-DoorSedanquattro2.0TPremium,3957
2016,Audi,A6,4-DoorSedanFrontTrak2.0TPremiumPlus,3803
2015,Audi,A6,4-DoorSedanFrontTrak2.0TPremium,3726
2015,Audi,A6,4-DoorSedanquattro3.0TPrestige,4101
2015,Audi,A6,4-DoorSedanquattro3.0TPremiumPlus,4101
2015,Audi,A6,4-DoorSedanquattro3.0LTDIPrestige,4178
2015,Audi,A6,4-DoorSedanquattro3.0LTDIPremiumPlus,4178
2015,Audi,A6,4-DoorSedanquattro2.0TPremiumPlus,3957
2015,Audi,A6,4-DoorSedanquattro2.0TPremium,3957
2015,Audi,A6,4-DoorSedanFrontTrak2.0TPremiumPlus,3726
2014,Audi,A6,4-DoorSedanFrontTrak2.0TPremium,3726
2014,Audi,A6,4-DoorSedanquattro3.0TPrestige,4101
2014,Audi,A6,4-DoorSedanquattro3.0TPremiumPlus,4101
2014,Audi,A6,4-DoorSedanquattro3.0LTDIPrestige,4178
2014,Audi,A6,4-DoorSedanquattro3.0LTDIPremiumPlus,4178
2014,Audi,A6,4-DoorSedanquattro2.0TPremiumPlus,3957
2014,Audi,A6,4-DoorSedanquattro2.0TPremium,3957
2014,Audi,A6,4-DoorSedanFrontTrak2.0TPremiumPlus,3726
2013,Audi,A6,4-DoorSedanFrontTrak2.0TPremium,3726
2013,Audi,A6,4-DoorSedanquattro3.0TPrestige,4045
2013,Audi,A6,4-DoorSedanquattro3.0TPremiumPlus,4045
2013,Audi,A6,4-DoorSedanquattro3.0TPremium,4045
2013,Audi,A6,4-DoorSedanquattro2.0TPremiumPlus,3891
2013,Audi,A6,4-DoorSedanquattro2.0TPremium,3891
2013,Audi,A6,4-DoorSedanFrontTrak2.0TPremiumPlus,3726
2012,Audi,A6,4-DoorSedanFrontTrak2.0TPremium,3682
2012,Audi,A6,4-DoorSedanquattro3.0TPrestige,4045
2012,Audi,A6,4-DoorSedanquattro3.0TPremiumPlus,4045
2012,Audi,A6,4-DoorSedanquattro3.0TPremium,4045
2012,Audi,A6,4-DoorSedanFrontTrak2.0TPremiumPlus,3682
2011,Audi,A6,4-DoorAvantWagonquattro3.0TPremPlus,4255
2011,Audi,A6,4-DoorSedanquattro4.2LPrestige,4211
2011,Audi,A6,4-DoorSedanquattro3.0TPrestige,4123
2011,Audi,A6,4-DoorSedanquattro3.0TPremiumPlus,4123
2011,Audi,A6,4-DoorSedanquattro3.0TPremium,4123
2011,Audi,A6,4-DoorSedanFrontTrak3.2LPremiumPlus,3858
2011,Audi,A6,4-DoorSedanFrontTrak3.2LPremium,3858
2011,Audi,A6,4-DoorAvantWagonquattro3.0TPrestige,4255
2011,Audi,A6,4-DoorAvantWagonquattro3.0TPremium,4255
2010,Audi,A6,4-DoorAvantWagonquattro3.0TPremium,4255
2010,Audi,A6,4-DoorSedanquattro4.2LPrestige,4211
2010,Audi,A6,4-DoorSedanquattro3.0TPrestige,4123
2010,Audi,A6,4-DoorSedanquattro3.0TPremiumPlus,4123
2010,Audi,A6,4-DoorSedanquattro3.0TPremium,4123
2010,Audi,A6,4-DoorSedanFrontTrak3.2LPremiumPlus,3858
2010,Audi,A6,4-DoorSedanFrontTrak3.2LPremium,3858
2010,Audi,A6,4-DoorAvantWagonquattro3.0TPrestige,4255
2010,Audi,A6,4-DoorAvantWagonquattro3.0TPremiumPlus,4255
2008,Audi,A6,4-DoorSedan3.2LFrontTrak,3825
2007,Audi,A6,4-DoorSedan3.2LFrontTrak,3825
2006,Audi,A6,4-DoorSedan3.2LFrontTrakAutomatic,3836
2004,Audi,A6,4-DoorSedan3.0LCVT,3561
2004,Audi,A6,4-DoorSedan2.7TquattroManual,3836
2003,Audi,A6,4-DoorSedan3.0LCVT,3516
2003,Audi,A6,4-DoorSedan2.7TquattroAWD 6-spdManual,3759
2002,Audi,A6,4-DoorSedanCVT,3516
2002,Audi,A6,4-DoorSedanquattroAWD 6-spdManual2.7T,3759
2001,Audi,A6,4-DoorSedanQuattroAWD 6-spdManual2.7T,3759
2000,Audi,A6,4-DoorSedanQuattroAWD ManualPreferred,3638
2000,Audi,A6,4-DoorSedanQuattroAWD Manual,3638
2000,Audi,A6,4-DoorSedanQuattroAWD 6-spdManual2.7T,3759
2019,Audi,A7,Premium55TFSIquattro,4332
2019,Audi,A7,Prestige55TFSIquattro,4332
2019,Audi,A7,PremiumPlus55TFSIquattro,4332
2018,Audi,A7,3.0TFSIPremiumPlus,4244
2018,Audi,A7,3.0TFSIPrestige,4244
2016,Audi,A7,4-DoorHBquattro3.0PremiumPlus,4288
2016,Audi,A7,4-DoorHBquattro3.0TDIPrestige,4356
2016,Audi,A7,4-DoorHBquattro3.0TDIPremiumPlus,4356
2016,Audi,A7,4-DoorHBquattro3.0Prestige,4288
2015,Audi,A7,4-DoorHBquattro3.0PremiumPlus,4200
2015,Audi,A7,4-DoorHBquattro3.0TDIPrestige,4266
2015,Audi,A7,4-DoorHBquattro3.0TDIPremiumPlus,4266
2015,Audi,A7,4-DoorHBquattro3.0Prestige,4200
2014,Audi,A7,4-DoorHBquattro3.0PremiumPlus,4200
2014,Audi,A7,4-DoorHBquattro3.0TDIPrestige,4266
2014,Audi,A7,4-DoorHBquattro3.0TDIPremiumPlus,4266
2014,Audi,A7,4-DoorHBquattro3.0Prestige,4200
2013,Audi,A7,4-DoorHBquattro3.0Premium,4167
2013,Audi,A7,4-DoorHBquattro3.0Prestige,4167
2013,Audi,A7,4-DoorHBquattro3.0PremiumPlus,4167
2012,Audi,A7,4-DoorHBquattro3.0Premium,4210
2012,Audi,A7,4-DoorHBquattro3.0Prestige,4210
2012,Audi,A7,4-DoorHBquattro3.0PremiumPlus,4210
2018,Audi,Q3,2.0TFSIPremiumFWD,3483
2018,Audi,Q3,2.0TFSISportPremiumPlusquattroAWD,3671
2018,Audi,Q3,2.0TFSISportPremiumquattroAWD,3671
2018,Audi,Q3,2.0TFSIPremiumPlusquattroAWD,3671
2018,Audi,Q3,2.0TFSIPremiumquattroAWD,3671
2018,Audi,Q3,2.0TFSISportPremiumPlusFWD,3483
2018,Audi,Q3,2.0TFSISportPremiumFWD,3483
2018,Audi,Q3,2.0TFSIPremiumPlusFWD,3483
2019,Audi,S3,PremiumPlus2.0TFSIquattro,3494
2019,Audi,S3,Prestige2.0TFSIquattro,3494
2018,Audi,S3,2.0TFSIPremiumPlus,3462
2018,Audi,S3,2.0TFSITechPrestige,3462
2018,Audi,S3,2.0TFSITechPremiumPlus,3462
2018,Audi,S3,2.0TFSIPrestige,3462
2016,Audi,S3,4-DoorSedanquattroPremiumPlus,3462
2016,Audi,S3,4-DoorSedanquattroPrestige,3462
2015,Audi,S3,4-DoorSedanquattro2.0TPremiumPlus,3450
2015,Audi,S3,4-DoorSedanquattro2.0TPrestige,3450
2019,Audi,Q5,Premium45TFSIquattro,4057
2019,Audi,Q5,Prestige45TFSIquattro,4057
2019,Audi,Q5,PremiumPlus45TFSIquattro,4057
2018,Audi,Q5,2.0TFSIPremium,4057
2018,Audi,Q5,2.0TFSITechPrestige,4057
2018,Audi,Q5,2.0TFSITechPremiumPlus,4057
2018,Audi,Q5,2.0TFSITechPremium,4057
2018,Audi,Q5,2.0TFSIPrestige,4057
2018,Audi,Q5,2.0TFSIPremiumPlus,4057
2016,Audi,Q5,quattro4-Door2.0TPremium,4200
2016,Audi,Q5,quattro4-Door3.0TPrestige,4387
2016,Audi,Q5,quattro4-Door3.0TPremiumPlus,4387
2016,Audi,Q5,quattro4-Door3.0LTDIPrestige,4508
2016,Audi,Q5,quattro4-Door3.0LTDIPremiumPlus,4508
2016,Audi,Q5,quattro4-Door2.0TPrestigeHybrid,4453
2016,Audi,Q5,quattro4-Door2.0TPremiumPlus,4200
2015,Audi,Q5,quattro4-Door2.0TPremium,4079
2015,Audi,Q5,quattro4-Door3.0TPrestige,4365
2015,Audi,Q5,quattro4-Door3.0TPremiumPlus,4365
2015,Audi,Q5,quattro4-Door3.0LTDIPrestige,4464
2015,Audi,Q5,quattro4-Door3.0LTDIPremiumPlus,4464
2015,Audi,Q5,quattro4-Door2.0TPrestigeHybrid,4409
2015,Audi,Q5,quattro4-Door2.0TPremiumPlus,4079
2014,Audi,Q5,quattro4-Door2.0TPremium,4079
2014,Audi,Q5,quattro4-Door3.0TPrestige,4354
2014,Audi,Q5,quattro4-Door3.0TPremiumPlus,4354
