Year,Make,Model,Base Curb Weight (lbs)
2016,Mercedes-Benz,GLC,3892
2016,Mercedes-Benz,GLE,4652
2016,Rolls-Royce,Dawn,5644
2018,Audi,Q3,3483
2018,Audi,S5,3836
2018,Audi,S8,4685
2018,BMW,X2,3662
2018,Cadillac,CT6,4537
2018,Chevrolet,Bolt,3563
2018,Ferrari,812,3593
2018,Ferrari,California,3813
2018,Ferrari,GTC4Lusso,4233
2018,FIAT,124,2436
2018,Ford,Ecosport,3020
2018,Genesis,G80,4195
2018,Honda,Clarity,101
2018,Hyundai,IONIQ,2996
2018,Hyundai,Ioniq,3318
2018,Hyundai,Kona,3043
2018,INFINITI,QX30,3280
2018,Jaguar,E-Pace,4035
2018,Jaguar,F-Pace,3880
2018,Jaguar,XF,4045
2018,Kia,Niro,3106
2018,Lexus,IS,3583
2018,Lexus,LC,4280
2018,Lexus,NX,3940
2018,Lexus,RX,4222
2018,Maserati,Levante,4649
2018,Mazda,Mazda3,2875
2018,McLaren,720S,3128
2018,Mercedes-Benz,GLA,3457
2018,Mercedes-Benz,SLC,3296
2018,MINI,Clubman,3105
2018,MINI,Convertible,2855
2018,MINI,Hardtop,2605
2018,Mitsubishi,Eclipse,3307
2018,Nissan,Kicks,2639
2018,Porsche,718,2943
2018,Toyota,86,2774
2018,Toyota,C-HR,3300
2019,BMW,8-Series,4478
2019,Genesis,G70,3580
2019,Kia,Stinger,3611
2019,Lexus,UX,3307
2019,Lincoln,Nautilus,4168
2019,Mercedes-Benz,A,3285
2019,Toyota,Mirai,85
2019,Volvo,XC40,3574
